DATE,COUNTRY,BASE_DEMAND,MARKETING_SPEND,GDP_GROWTH,INFLATION_RATE,SEASONALITY_INDEX,FINAL_DEMAND
2024-Dec-30,USA,120,44530.14,2.18,3.82,1.12,209
2024-Dec-31,USA,120,45875.21,1.85,1.87,1.18,229
2022-Jan-01,JAPAN,90,43689.84,0.92,2.25,0.96,146
2022-Jan-02,JAPAN,90,48736.85,3.45,2.18,1.0,158
2022-Jan-03,JAPAN,90,42887.89,2.79,3.97,0.9,112
2022-Jan-04,JAPAN,90,36721.59,1.54,3.7,0.96,139
2022-Jan-05,JAPAN,90,45417.67,2.99,0.92,0.99,145
2022-Jan-06,JAPAN,90,30264.83,3.8,3.42,1.01,149
2022-Jan-07,JAPAN,90,34504.51,2.98,1.28,1.01,164
2022-Jan-08,JAPAN,90,40636.59,3.56,2.83,0.91,149
2022-Jan-09,JAPAN,90,42272.45,3.11,2.02,0.98,156
2022-Jan-10,JAPAN,90,33928.23,2.4,2.15,0.93,114
2022-Jan-11,JAPAN,90,37918.6,4.03,1.56,1.0,143
2022-Jan-12,JAPAN,90,38450.36,1.29,2.78,0.87,127
2022-Jan-13,JAPAN,90,41401.4,3.02,3.09,0.88,119
2022-Jan-14,JAPAN,90,35857.94,2.66,2.99,1.02,145
2022-Jan-15,JAPAN,90,25475.67,1.21,2.3,1.05,124
2022-Jan-16,JAPAN,90,33826.07,2.7,4.19,0.87,108
2022-Jan-17,JAPAN,90,43480.63,3.23,2.33,0.88,134
2022-Jan-18,JAPAN,90,26384.78,1.66,3.43,0.92,98
2022-Jan-19,JAPAN,90,38731.44,2.71,2.98,1.0,137
2022-Jan-20,JAPAN,90,44910.17,0.9,3.03,0.95,145
2022-Jan-21,JAPAN,90,50199.82,2.83,3.36,1.04,173
2022-Jan-22,JAPAN,90,25543.67,1.19,2.1,0.91,100
2022-Jan-23,JAPAN,90,34480.67,2.0,2.71,1.04,140
2022-Jan-24,JAPAN,90,50905.83,2.35,1.5,0.87,142
2022-Jan-25,JAPAN,90,48575.72,1.03,2.19,1.0,145
2022-Jan-26,JAPAN,90,43453.05,1.62,2.93,0.86,137
2022-Jan-27,JAPAN,90,35805.12,2.86,3.02,0.95,139
2022-Jan-28,JAPAN,90,46738.38,1.77,4.68,0.89,133
2022-Jan-29,JAPAN,90,31374.25,2.18,1.97,1.03,139
2022-Jan-30,JAPAN,90,34404.68,1.44,0.82,1.04,145
2022-Jan-31,JAPAN,90,43652.02,3.37,1.52,0.9,141
2022-Feb-01,JAPAN,90,30497.88,0.99,3.31,0.98,113
2022-Feb-02,JAPAN,90,41664.44,2.5,3.59,0.97,132
2022-Feb-03,JAPAN,90,35787.75,2.34,4.12,0.92,117
2022-Feb-04,JAPAN,90,34926.29,3.2,2.23,1.0,126
2022-Feb-05,JAPAN,90,40271.22,2.04,1.82,0.94,123
2022-Feb-06,JAPAN,90,28346.55,2.36,0.59,0.94,115
2022-Feb-07,JAPAN,90,45503.46,2.59,2.65,0.89,131
2022-Feb-08,JAPAN,90,34419.07,0.42,2.47,1.02,119
2022-Feb-09,JAPAN,90,29201.82,3.1,2.78,0.88,131
2022-Feb-10,JAPAN,90,39187.53,4.1,4.14,1.04,146
2022-Feb-11,JAPAN,90,34970.77,3.28,4.4,0.98,129
2022-Feb-12,JAPAN,90,39902.18,0.92,2.73,0.94,153
2022-Feb-13,JAPAN,90,37386.61,2.73,3.25,0.91,130
2022-Feb-14,JAPAN,90,43303.84,2.07,3.39,0.96,138
2022-Feb-15,JAPAN,90,38533.59,2.36,4.64,0.85,117
2022-Feb-16,JAPAN,90,49473.45,3.0,0.87,1.01,191
2022-Feb-17,JAPAN,90,41073.33,0.59,3.75,1.04,149
2022-Feb-18,JAPAN,90,28709.96,3.63,1.79,0.91,116
2022-Feb-19,JAPAN,90,22444.94,2.4,2.35,0.97,121
2022-Feb-20,JAPAN,90,45882.73,2.91,3.62,1.0,157
2022-Feb-21,JAPAN,90,31590.24,2.11,3.84,1.02,95
2022-Feb-22,JAPAN,90,54394.01,1.87,2.22,0.88,161
2022-Feb-23,JAPAN,90,44036.65,3.46,1.48,1.03,178
2022-Feb-24,JAPAN,90,34654.91,2.99,0.75,0.92,122
2022-Feb-25,JAPAN,90,48949.06,1.81,2.39,1.01,162
2022-Feb-26,JAPAN,90,42649.75,2.32,2.36,0.9,159
2022-Feb-27,JAPAN,90,31554.88,2.37,5.5,1.01,119
2022-Feb-28,JAPAN,90,29313.95,3.02,1.37,0.98,155
2022-Mar-01,JAPAN,90,56286.99,2.21,1.33,1.02,188
2022-Mar-02,JAPAN,90,51610.04,3.81,1.82,1.01,164
2022-Mar-03,JAPAN,90,40604.61,2.45,1.55,0.85,142
2022-Mar-04,JAPAN,90,41679.32,1.03,-0.12,1.04,154
2022-Mar-05,JAPAN,90,48701.68,2.53,3.69,0.9,152
2022-Mar-06,JAPAN,90,30260.16,2.16,3.09,0.88,110
2022-Mar-07,JAPAN,90,34654.86,1.72,1.04,0.89,125
2022-Mar-08,JAPAN,90,46722.85,2.74,1.73,0.95,186
2022-Mar-09,JAPAN,90,34845.28,3.43,2.28,1.0,103
2022-Mar-10,JAPAN,90,41795.34,1.28,3.95,0.98,145
2022-Mar-11,JAPAN,90,43275.51,3.4,1.26,0.88,138
2022-Mar-12,JAPAN,90,43889.35,1.35,3.69,0.85,120
2022-Mar-13,JAPAN,90,29832.39,2.84,3.22,0.93,113
2022-Mar-14,JAPAN,90,46855.97,2.65,2.59,0.95,154
2022-Mar-15,JAPAN,90,35912.09,3.33,3.09,0.87,91
2022-Mar-16,JAPAN,90,39321.13,1.75,1.82,0.86,127
2022-Mar-17,JAPAN,90,53727.26,1.75,3.48,0.94,151
2022-Mar-18,JAPAN,90,42811.25,3.69,4.11,1.02,148
2022-Mar-19,JAPAN,90,33739.21,2.62,3.3,0.9,128
2022-Mar-20,JAPAN,90,37444.08,3.57,3.58,0.94,142
2022-Mar-21,JAPAN,90,46084.05,0.23,4.36,1.01,118
2022-Mar-22,JAPAN,90,48577.57,3.92,1.78,1.0,188
2022-Mar-23,JAPAN,90,32993.26,2.4,4.13,0.86,102
2022-Mar-24,JAPAN,90,36872.62,2.28,3.87,0.95,133
2022-Mar-25,JAPAN,90,36098.93,2.51,1.52,0.95,116
2022-Mar-26,JAPAN,90,41307.45,1.92,3.73,1.01,156
2022-Mar-27,JAPAN,90,34871.09,4.5,3.05,0.93,171
2022-Mar-28,JAPAN,90,31326.05,2.86,2.53,0.95,126
2022-Mar-29,JAPAN,90,31944.58,1.74,2.66,1.0,129
2022-Mar-30,JAPAN,90,26268.13,2.04,2.26,1.04,105
2022-Mar-31,JAPAN,90,40546.97,1.49,2.83,1.01,119
2022-Apr-01,JAPAN,90,42283.2,3.44,5.0,1.13,169
2022-Apr-02,JAPAN,90,39160.26,2.18,2.25,1.28,198
2022-Apr-03,JAPAN,90,23844.75,2.03,2.93,1.1,127
2022-Apr-04,JAPAN,90,33812.35,3.28,3.3,1.19,193
2022-Apr-05,JAPAN,90,41029.03,1.06,3.27,1.26,172
2022-Apr-06,JAPAN,90,43603.97,2.82,2.57,1.27,192
2022-Apr-07,JAPAN,90,27010.09,2.0,3.07,1.16,130
2022-Apr-08,JAPAN,90,22333.75,2.14,1.79,1.14,120
2022-Apr-09,JAPAN,90,39551.56,2.58,3.33,1.16,161
2022-Apr-10,JAPAN,90,44634.77,2.04,2.72,1.28,224
2022-Apr-11,JAPAN,90,64719.12,1.5,3.52,1.21,218
2022-Apr-12,JAPAN,90,39856.84,2.19,3.2,1.16,150
2022-Apr-13,JAPAN,90,32778.49,0.68,2.79,1.13,147
2022-Apr-14,JAPAN,90,35850.67,2.96,2.67,1.19,182
2022-Apr-15,JAPAN,90,35307.77,0.98,3.26,1.26,161
2022-Apr-16,JAPAN,90,45011.48,2.59,2.68,1.3,201
2022-Apr-17,JAPAN,90,36874.91,1.25,5.83,1.15,149
2022-Apr-18,JAPAN,90,42464.08,3.06,2.16,1.14,154
2022-Apr-19,JAPAN,90,46793.14,0.75,3.27,1.14,148
2022-Apr-20,JAPAN,90,39144.23,2.39,3.59,1.21,205
2022-Apr-21,JAPAN,90,54808.43,2.24,1.3,1.2,204
2022-Apr-22,JAPAN,90,64786.4,2.27,2.89,1.29,229
2022-Apr-23,JAPAN,90,55301.81,2.8,3.7,1.13,149
2022-Apr-24,JAPAN,90,61624.22,0.66,2.64,1.27,212
2022-Apr-25,JAPAN,90,33751.93,2.73,3.67,1.14,155
2022-Apr-26,JAPAN,90,33481.95,0.55,3.68,1.22,154
2022-Apr-27,JAPAN,90,34805.52,3.97,3.6,1.19,162
2022-Apr-28,JAPAN,90,39127.81,2.02,1.33,1.3,192
2022-Apr-29,JAPAN,90,42509.12,1.09,3.29,1.26,193
2022-Apr-30,JAPAN,90,24762.6,2.65,2.58,1.15,151
2022-May-01,JAPAN,90,28347.3,3.03,1.89,1.17,176
2022-May-02,JAPAN,90,63418.16,3.08,2.45,1.19,199
2022-May-03,JAPAN,90,32745.54,1.79,3.63,1.16,171
2022-May-04,JAPAN,90,37592.16,0.72,2.48,1.18,150
2022-May-05,JAPAN,90,28998.2,1.51,3.96,1.23,142
2022-May-06,JAPAN,90,34772.3,1.97,2.3,1.14,149
2022-May-07,JAPAN,90,43904.76,1.41,4.23,1.23,209
2022-May-08,JAPAN,90,20770.65,1.85,3.32,1.15,130
2022-May-09,JAPAN,90,28872.85,3.29,3.27,1.15,137
2022-May-10,JAPAN,90,38178.24,0.69,2.65,1.15,168
2022-May-11,JAPAN,90,49522.82,3.38,2.62,1.17,226
2022-May-12,JAPAN,90,39438.24,2.53,4.09,1.17,124
2022-May-13,JAPAN,90,38530.13,0.91,2.33,1.23,152
2022-May-14,JAPAN,90,44045.88,3.84,2.1,1.2,192
2022-May-15,JAPAN,90,26781.61,2.4,3.09,1.22,128
2022-May-16,JAPAN,90,50018.27,3.02,1.9,1.21,208
2022-May-17,JAPAN,90,39074.43,2.63,1.94,1.13,177
2022-May-18,JAPAN,90,49447.92,3.04,3.17,1.17,199
2022-May-19,JAPAN,90,38737.26,3.1,2.32,1.16,163
2022-May-20,JAPAN,90,49816.28,3.84,3.44,1.2,168
2022-May-21,JAPAN,90,37201.19,4.17,3.71,1.22,173
2022-May-22,JAPAN,90,43943.07,2.5,1.46,1.12,192
2022-May-23,JAPAN,90,30106.7,1.62,1.28,1.26,154
2022-May-24,JAPAN,90,34267.41,2.61,3.03,1.11,162
2022-May-25,JAPAN,90,53875.46,2.71,3.12,1.27,193
2022-May-26,JAPAN,90,40279.1,1.85,5.11,1.19,141
2022-May-27,JAPAN,90,33843.25,2.98,3.8,1.21,167
2022-May-28,JAPAN,90,45486.86,3.28,3.0,1.24,154
2022-May-29,JAPAN,90,43625.31,2.73,1.8,1.13,182
2022-May-30,JAPAN,90,55930.96,1.7,4.62,1.24,208
2022-May-31,JAPAN,90,43988.84,2.63,4.75,1.18,188
2022-Jun-01,JAPAN,90,46908.23,1.7,3.52,1.28,199
2022-Jun-02,JAPAN,90,28013.05,1.68,3.56,1.16,151
2022-Jun-03,JAPAN,90,38286.8,1.75,2.45,1.14,175
2022-Jun-04,JAPAN,90,48795.9,0.97,2.45,1.15,176
2022-Jun-05,JAPAN,90,57428.5,2.88,2.14,1.21,220
2022-Jun-06,JAPAN,90,39396.69,3.22,2.87,1.28,221
2022-Jun-07,JAPAN,90,48572.13,2.25,3.12,1.22,164
2022-Jun-08,JAPAN,90,34378.74,2.47,2.59,1.11,122
2022-Jun-09,JAPAN,90,28585.39,2.9,2.11,1.15,146
2022-Jun-10,JAPAN,90,44709.08,1.93,3.15,1.16,188
2022-Jun-11,JAPAN,90,57616.11,3.26,4.22,1.25,208
2022-Jun-12,JAPAN,90,22073.23,3.54,3.57,1.11,119
2022-Jun-13,JAPAN,90,37094.95,3.6,4.02,1.16,178
2022-Jun-14,JAPAN,90,54128.4,3.3,3.16,1.25,275
2022-Jun-15,JAPAN,90,37077.75,2.54,3.72,1.22,209
2022-Jun-16,JAPAN,90,30997.88,3.11,3.83,1.12,127
2022-Jun-17,JAPAN,90,41479.76,2.96,1.49,1.27,206
2022-Jun-18,JAPAN,90,45910.59,1.64,4.3,1.18,197
2022-Jun-19,JAPAN,90,49770.36,3.74,3.32,1.17,198
2022-Jun-20,JAPAN,90,33874.04,1.46,2.34,1.11,145
2022-Jun-21,JAPAN,90,45962.89,2.71,2.96,1.29,205
2022-Jun-22,JAPAN,90,45626.5,2.82,3.25,1.1,170
2022-Jun-23,JAPAN,90,41864.34,1.59,3.09,1.21,163
2022-Jun-24,JAPAN,90,41440.84,3.0,1.9,1.28,183
2022-Jun-25,JAPAN,90,58702.62,1.78,4.06,1.13,173
2022-Jun-26,JAPAN,90,32368.89,1.8,4.06,1.13,148
2022-Jun-27,JAPAN,90,46578.8,2.33,1.97,1.24,182
2022-Jun-28,JAPAN,90,38374.55,2.87,1.77,1.15,157
2022-Jun-29,JAPAN,90,33470.76,3.44,4.5,1.24,140
2022-Jun-30,JAPAN,90,31969.2,2.53,4.82,1.12,152
2022-Jul-01,JAPAN,90,40350.63,3.37,2.43,0.91,151
2022-Jul-02,JAPAN,90,50620.92,0.79,2.85,0.94,179
2022-Jul-03,JAPAN,90,33815.76,4.01,2.12,0.89,115
2022-Jul-04,JAPAN,90,42528.55,1.93,2.66,0.86,121
2022-Jul-05,JAPAN,90,40739.01,2.37,2.08,1.02,129
2022-Jul-06,JAPAN,90,29482.9,0.95,3.89,0.9,86
2022-Jul-07,JAPAN,90,38704.36,3.41,2.85,1.0,154
2022-Jul-08,JAPAN,90,57906.83,1.43,2.6,0.96,148
2022-Jul-09,JAPAN,90,26166.54,3.27,2.69,0.99,142
2022-Jul-10,JAPAN,90,48984.43,3.55,2.86,0.86,148
2022-Jul-11,JAPAN,90,34609.68,3.37,1.92,0.95,148
2022-Jul-12,JAPAN,90,35916.46,1.06,1.42,0.95,125
2022-Jul-13,JAPAN,90,58335.29,2.06,1.9,0.89,186
2022-Jul-14,JAPAN,90,57277.91,3.76,1.79,0.98,146
2022-Jul-15,JAPAN,90,32851.24,2.12,1.7,1.03,115
2022-Jul-16,JAPAN,90,36295.49,3.64,3.02,0.88,90
2022-Jul-17,JAPAN,90,44166.05,2.43,4.88,1.02,145
2022-Jul-18,JAPAN,90,36348.02,1.92,2.12,0.97,153
2022-Jul-19,JAPAN,90,34948.78,2.32,3.97,0.95,127
2022-Jul-20,JAPAN,90,54136.2,3.13,1.88,0.85,133
2022-Jul-21,JAPAN,90,44299.3,2.02,3.5,0.99,158
2022-Jul-22,JAPAN,90,40218.05,1.52,2.16,0.97,126
2022-Jul-23,JAPAN,90,51118.11,2.19,0.79,0.97,143
2022-Jul-24,JAPAN,90,42750.94,2.19,1.9,1.03,142
2022-Jul-25,JAPAN,90,35196.91,2.37,3.31,1.0,137
2022-Jul-26,JAPAN,90,37770.33,4.13,3.36,1.03,155
2022-Jul-27,JAPAN,90,39264.25,2.21,3.74,0.86,108
2022-Jul-28,JAPAN,90,31682.93,2.44,2.54,0.97,132
2022-Jul-29,JAPAN,90,40907.65,1.53,3.06,1.03,150
2022-Jul-30,JAPAN,90,45322.17,1.77,3.64,1.0,134
2022-Jul-31,JAPAN,90,38068.56,3.66,2.68,0.89,151
2022-Aug-01,JAPAN,90,33968.87,2.86,3.99,1.01,122
2022-Aug-02,JAPAN,90,38227.2,2.22,2.41,0.91,111
2022-Aug-03,JAPAN,90,35069.08,2.75,2.45,1.03,147
2022-Aug-04,JAPAN,90,33515.77,0.94,3.98,1.03,140
2022-Aug-05,JAPAN,90,45525.04,4.16,2.21,0.99,146
2022-Aug-06,JAPAN,90,47658.44,4.36,2.47,1.0,167
2022-Aug-07,JAPAN,90,28591.09,2.82,3.46,0.95,111
2022-Aug-08,JAPAN,90,51136.31,2.09,3.62,0.93,151
2022-Aug-09,JAPAN,90,41422.23,1.47,3.72,0.92,127
2022-Aug-10,JAPAN,90,41112.23,3.05,2.56,0.87,131
2022-Aug-11,JAPAN,90,42396.26,2.15,4.81,1.05,141
2022-Aug-12,JAPAN,90,40254.08,2.39,2.83,0.86,127
2022-Aug-13,JAPAN,90,39076.64,1.18,1.97,1.01,121
2022-Aug-14,JAPAN,90,23383.04,1.42,3.73,0.96,98
2022-Aug-15,JAPAN,90,52588.8,1.11,4.9,0.94,136
2022-Aug-16,JAPAN,90,51122.04,2.09,3.68,0.99,187
2022-Aug-17,JAPAN,90,37058.38,0.92,2.85,0.92,118
2022-Aug-18,JAPAN,90,38626.61,3.4,4.27,0.87,138
2022-Aug-19,JAPAN,90,37948.78,2.52,3.43,0.97,118
2022-Aug-20,JAPAN,90,43515.62,2.09,2.87,0.97,165
2022-Aug-21,JAPAN,90,39982.3,3.86,2.96,0.89,156
2022-Aug-22,JAPAN,90,32777.53,1.23,2.34,0.91,127
2022-Aug-23,JAPAN,90,32968.42,1.03,3.26,0.88,114
2022-Aug-24,JAPAN,90,44171.6,2.21,3.5,0.98,167
2022-Aug-25,JAPAN,90,38781.62,3.69,1.97,1.04,148
2022-Aug-26,JAPAN,90,42916.49,1.06,3.33,1.04,139
2022-Aug-27,JAPAN,90,38135.22,2.89,2.86,0.98,149
2022-Aug-28,JAPAN,90,35595.3,3.54,3.14,0.9,133
2022-Aug-29,JAPAN,90,38271.17,1.37,1.33,0.99,127
2022-Aug-30,JAPAN,90,41081.52,1.31,1.66,0.95,135
2022-Aug-31,JAPAN,90,39490.99,2.91,2.5,0.94,159
2022-Sep-01,JAPAN,90,46273.17,1.39,3.9,0.91,123
2022-Sep-02,JAPAN,90,40272.07,2.15,2.4,0.86,135
2022-Sep-03,JAPAN,90,31212.73,2.28,3.97,0.92,108
2022-Sep-04,JAPAN,90,44936.5,3.41,1.82,0.93,125
2022-Sep-05,JAPAN,90,38653.6,2.2,1.73,0.86,133
2022-Sep-06,JAPAN,90,38780.0,2.05,2.63,0.98,135
2022-Sep-07,JAPAN,90,40300.6,2.92,2.34,0.88,128
2022-Sep-08,JAPAN,90,30913.99,4.79,3.3,0.93,112
2022-Sep-09,JAPAN,90,45545.74,2.3,3.29,1.0,122
2022-Sep-10,JAPAN,90,28533.41,2.69,2.0,0.92,117
2022-Sep-11,JAPAN,90,40864.11,2.82,4.32,0.94,123
2022-Sep-12,JAPAN,90,43780.46,2.93,4.22,0.99,137
2022-Sep-13,JAPAN,90,49818.19,2.45,2.64,0.99,142
2022-Sep-14,JAPAN,90,29850.46,3.14,3.18,0.89,133
2022-Sep-15,JAPAN,90,30214.24,3.51,3.49,1.02,150
2022-Sep-16,JAPAN,90,44720.04,1.67,4.29,0.97,178
2022-Sep-17,JAPAN,90,37214.74,0.34,3.34,1.0,130
2022-Sep-18,JAPAN,90,38421.06,3.22,1.26,0.92,155
2022-Sep-19,JAPAN,90,44631.43,2.52,2.2,0.85,139
2022-Sep-20,JAPAN,90,43870.23,2.32,3.07,0.97,155
2022-Sep-21,JAPAN,90,35867.09,1.74,3.7,0.9,107
2022-Sep-22,JAPAN,90,27568.86,-0.1,4.2,0.93,117
2022-Sep-23,JAPAN,90,39870.22,2.81,3.58,0.91,147
2022-Sep-24,JAPAN,90,34278.23,1.72,3.65,0.88,113
2022-Sep-25,JAPAN,90,45482.32,2.41,4.11,1.02,176
2022-Sep-26,JAPAN,90,45569.09,3.63,2.66,1.01,162
2022-Sep-27,JAPAN,90,41747.11,3.68,2.81,0.95,166
2022-Sep-28,JAPAN,90,45830.55,2.9,2.97,0.89,149
2022-Sep-29,JAPAN,90,41270.05,4.21,2.53,0.86,150
2022-Sep-30,JAPAN,90,34784.72,1.58,2.04,0.89,121
2022-Oct-01,JAPAN,90,37840.38,2.27,3.25,1.13,134
2022-Oct-02,JAPAN,90,44137.84,2.25,4.54,1.2,199
2022-Oct-03,JAPAN,90,51758.27,2.33,1.82,1.12,177
2022-Oct-04,JAPAN,90,43211.71,1.59,2.61,1.22,155
2022-Oct-05,JAPAN,90,47300.96,1.47,3.06,1.18,189
2022-Oct-06,JAPAN,90,47752.32,2.86,2.99,1.15,153
2022-Oct-07,JAPAN,90,45453.95,1.87,3.2,1.12,187
2022-Oct-08,JAPAN,90,39989.86,3.4,2.84,1.22,194
2022-Oct-09,JAPAN,90,28490.24,3.37,5.37,1.29,150
2022-Oct-10,JAPAN,90,32689.65,2.55,1.38,1.1,118
2022-Oct-11,JAPAN,90,42988.27,1.98,0.95,1.3,232
2022-Oct-12,JAPAN,90,33404.12,2.69,1.86,1.25,158
2022-Oct-13,JAPAN,90,33917.09,2.19,2.24,1.1,143
2022-Oct-14,JAPAN,90,37484.68,1.96,3.14,1.14,133
2022-Oct-15,JAPAN,90,33172.04,1.62,4.8,1.1,128
2022-Oct-16,JAPAN,90,44983.46,1.51,2.68,1.23,220
2022-Oct-17,JAPAN,90,34004.67,2.71,2.66,1.27,179
2022-Oct-18,JAPAN,90,43016.27,3.02,2.91,1.24,173
2022-Oct-19,JAPAN,90,46665.26,2.41,3.3,1.18,172
2022-Oct-20,JAPAN,90,25008.24,2.18,1.41,1.3,154
2022-Oct-21,JAPAN,90,29971.95,1.92,2.08,1.1,136
2022-Oct-22,JAPAN,90,50520.75,2.1,3.25,1.27,230
2022-Oct-23,JAPAN,90,40243.81,3.25,3.78,1.29,173
2022-Oct-24,JAPAN,90,39236.22,2.88,2.51,1.15,151
2022-Oct-25,JAPAN,90,35872.76,2.51,3.14,1.29,161
2022-Oct-26,JAPAN,90,46196.64,1.61,2.03,1.18,187
2022-Oct-27,JAPAN,90,47976.47,2.92,1.92,1.16,213
2022-Oct-28,JAPAN,90,38693.54,2.44,3.8,1.16,183
2022-Oct-29,JAPAN,90,36692.61,2.3,1.84,1.18,169
2022-Oct-30,JAPAN,90,45842.27,3.05,4.07,1.19,189
2022-Oct-31,JAPAN,90,24293.69,3.65,3.28,1.1,132
2022-Nov-01,JAPAN,90,41786.42,2.44,4.0,1.13,181
2022-Nov-02,JAPAN,90,42666.96,2.95,4.09,1.23,137
2022-Nov-03,JAPAN,90,42034.53,1.39,1.44,1.26,175
2022-Nov-04,JAPAN,90,41178.38,3.85,2.12,1.18,172
2022-Nov-05,JAPAN,90,42324.54,2.19,3.38,1.25,198
2022-Nov-06,JAPAN,90,26315.17,4.85,1.97,1.28,157
2022-Nov-07,JAPAN,90,45277.22,1.29,2.2,1.18,172
2022-Nov-08,JAPAN,90,35950.49,1.74,3.52,1.11,146
2022-Nov-09,JAPAN,90,38422.82,2.83,3.29,1.15,140
2022-Nov-10,JAPAN,90,56513.76,2.78,3.49,1.19,207
2022-Nov-11,JAPAN,90,41920.92,2.5,2.99,1.27,198
2022-Nov-12,JAPAN,90,57084.69,0.8,3.41,1.21,203
2022-Nov-13,JAPAN,90,38665.3,3.07,3.43,1.18,150
2022-Nov-14,JAPAN,90,46977.22,1.62,3.82,1.18,184
2022-Nov-15,JAPAN,90,40085.09,2.3,2.63,1.18,150
2022-Nov-16,JAPAN,90,45475.6,2.55,2.73,1.27,190
2022-Nov-17,JAPAN,90,27031.93,3.39,4.2,1.16,128
2022-Nov-18,JAPAN,90,52313.14,2.34,4.4,1.26,234
2022-Nov-19,JAPAN,90,42100.22,1.19,2.45,1.27,154
2022-Nov-20,JAPAN,90,32717.41,1.81,2.87,1.19,165
2022-Nov-21,JAPAN,90,25436.82,1.36,2.54,1.14,143
2022-Nov-22,JAPAN,90,24283.71,1.36,3.18,1.19,109
2022-Nov-23,JAPAN,90,54129.92,4.88,2.89,1.11,210
2022-Nov-24,JAPAN,90,28035.67,3.1,2.4,1.14,142
2022-Nov-25,JAPAN,90,42346.75,1.81,2.58,1.11,195
2022-Nov-26,JAPAN,90,47424.72,2.81,1.82,1.13,152
2022-Nov-27,JAPAN,90,37597.88,2.44,2.88,1.16,143
2022-Nov-28,JAPAN,90,40736.44,4.45,3.44,1.23,198
2022-Nov-29,JAPAN,90,35891.11,3.09,3.13,1.19,183
2022-Nov-30,JAPAN,90,40178.71,2.53,1.27,1.15,204
2022-Dec-01,JAPAN,90,47794.1,3.18,3.62,1.11,155
2022-Dec-02,JAPAN,90,39907.88,4.05,3.26,1.19,199
2022-Dec-03,JAPAN,90,47927.67,1.87,3.71,1.16,173
2022-Dec-04,JAPAN,90,29221.97,1.42,2.54,1.24,137
2022-Dec-05,JAPAN,90,22416.69,1.81,3.85,1.14,107
2022-Dec-06,JAPAN,90,41442.36,1.92,2.81,1.3,175
2022-Dec-07,JAPAN,90,40199.77,1.22,1.09,1.22,167
2022-Dec-08,JAPAN,90,34339.58,1.5,3.45,1.2,148
2022-Dec-09,JAPAN,90,31376.75,2.17,3.54,1.29,152
2022-Dec-10,JAPAN,90,43379.48,3.26,3.06,1.2,177
2022-Dec-11,JAPAN,90,35774.29,2.29,2.02,1.26,164
2022-Dec-12,JAPAN,90,34507.69,0.81,4.34,1.15,161
2022-Dec-13,JAPAN,90,46374.44,2.16,3.81,1.13,205
2022-Dec-14,JAPAN,90,42058.98,3.9,2.97,1.19,173
2022-Dec-15,JAPAN,90,31730.11,2.1,4.71,1.28,154
2022-Dec-16,JAPAN,90,33741.17,2.45,1.93,1.2,178
2022-Dec-17,JAPAN,90,37998.11,2.27,4.15,1.2,160
2022-Dec-18,JAPAN,90,50399.9,2.16,3.96,1.18,205
2022-Dec-19,JAPAN,90,34893.57,3.31,1.13,1.22,172
2022-Dec-20,JAPAN,90,29340.41,2.21,3.7,1.3,176
2022-Dec-21,JAPAN,90,52783.25,1.84,1.75,1.18,185
2022-Dec-22,JAPAN,90,48933.45,4.63,3.1,1.2,209
2022-Dec-23,JAPAN,90,33967.66,2.68,3.12,1.15,185
2022-Dec-24,JAPAN,90,31471.74,2.45,3.83,1.11,140
2022-Dec-25,JAPAN,90,40892.8,2.59,2.31,1.14,212
2022-Dec-26,JAPAN,90,52482.04,2.76,4.0,1.26,166
2022-Dec-27,JAPAN,90,43130.7,3.02,2.77,1.23,174
2022-Dec-28,JAPAN,90,29966.71,2.28,2.33,1.1,131
2022-Dec-29,JAPAN,90,47962.32,2.1,2.94,1.22,181
2022-Dec-30,JAPAN,90,34953.24,3.26,4.07,1.24,164
2022-Dec-31,JAPAN,90,36679.64,2.28,3.0,1.15,146
2023-Jan-01,JAPAN,90,45659.66,3.07,2.77,0.97,166
2023-Jan-02,JAPAN,90,46963.59,3.67,4.34,0.97,186
2023-Jan-03,JAPAN,90,37527.47,3.2,3.73,1.05,155
2023-Jan-04,JAPAN,90,38288.83,4.3,0.27,0.87,155
2023-Jan-05,JAPAN,90,49099.05,2.05,3.03,0.96,159
2023-Jan-06,JAPAN,90,39551.88,3.8,4.63,0.88,131
2023-Jan-07,JAPAN,90,52842.85,2.9,2.02,0.9,174
2023-Jan-08,JAPAN,90,36891.87,2.31,3.86,0.87,96
2023-Jan-09,JAPAN,90,43686.38,3.11,2.59,0.93,123
2023-Jan-10,JAPAN,90,48947.05,0.97,3.77,0.9,118
2023-Jan-11,JAPAN,90,41143.93,3.34,3.32,1.02,127
2023-Jan-12,JAPAN,90,47872.33,2.52,2.74,0.94,177
2023-Jan-13,JAPAN,90,41889.79,1.93,3.12,1.0,133
2023-Jan-14,JAPAN,90,24570.55,2.39,2.21,0.9,109
2023-Jan-15,JAPAN,90,45855.18,1.4,4.18,0.99,164
2023-Jan-16,JAPAN,90,32526.77,2.29,3.03,0.98,147
2023-Jan-17,JAPAN,90,33765.0,2.77,4.24,1.04,128
2023-Jan-18,JAPAN,90,29883.32,1.0,2.78,0.92,112
2023-Jan-19,JAPAN,90,36184.99,2.54,3.87,1.05,167
2023-Jan-20,JAPAN,90,39479.2,1.48,1.97,0.98,180
2023-Jan-21,JAPAN,90,38239.86,1.8,1.59,0.97,138
